Audiofile,start,end,class
S01_U04.CH4,440.6,441.15,foreground
S01_U04.CH4,441.15,466.62,foreground
S01_U04.CH4,466.62,471.01,foreground
S01_U04.CH4,471.01,471.61,foreground
S01_U04.CH4,471.61,494.52,foreground
S01_U04.CH4,494.52,495.92,foreground
S01_U04.CH4,495.92,535.15,foreground
S01_U04.CH4,535.15,545.15,foreground
S01_U04.CH4,545.15,551.57,foreground
S01_U04.CH4,551.57,553.83,foreground
S01_U04.CH4,553.83,554.08,foreground
S01_U04.CH4,554.08,554.51,foreground
S01_U04.CH4,554.51,555.16,foreground
S01_U04.CH4,555.16,555.78,foreground
S01_U04.CH4,555.78,556.53,foreground
S01_U04.CH4,556.53,557.96,foreground
S01_U04.CH4,557.96,561.23,foreground
S01_U04.CH4,561.23,569.09,foreground
S01_U04.CH4,569.09,569.41,foreground
S01_U04.CH4,569.41,576.53,foreground
S01_U04.CH4,576.53,577.51,foreground
S01_U04.CH4,577.51,601.19,foreground
S01_U04.CH4,601.19,604.66,foreground
S01_U04.CH4,604.66,659.0,foreground
S01_U04.CH4,659.0,662.97,foreground
S01_U04.CH4,662.97,663.78,foreground
S01_U04.CH4,663.78,668.6,foreground
S01_U04.CH4,668.6,669.88,foreground
S01_U04.CH4,669.88,683.04,foreground
S01_U04.CH4,683.04,693.6,foreground
S01_U04.CH4,693.6,694.06,foreground
S01_U04.CH4,694.06,694.83,foreground
S01_U04.CH4,694.83,695.3,foreground
S01_U04.CH4,695.3,696.12,foreground
S01_U04.CH4,696.12,696.55,foreground
S01_U04.CH4,696.55,696.96,foreground
S01_U04.CH4,696.96,699.34,foreground
S01_U04.CH4,699.34,700.22,foreground
S01_U04.CH4,700.22,702.08,foreground
S01_U04.CH4,702.08,702.43,background
S01_U04.CH4,702.43,707.09,foreground
S01_U04.CH4,707.09,719.61,foreground
S01_U04.CH4,719.61,721.98,foreground
S01_U04.CH4,721.98,726.16,foreground
S01_U04.CH4,726.16,726.46,foreground
S01_U04.CH4,726.46,727.3,foreground
S01_U04.CH4,727.3,733.67,foreground
S01_U04.CH4,733.67,738.85,foreground
S01_U04.CH4,738.85,740.69,foreground
S01_U04.CH4,740.69,741.12,foreground
S01_U04.CH4,741.12,746.81,foreground
S01_U04.CH4,746.81,752.4,foreground
S01_U04.CH4,752.4,774.95,foreground
S01_U04.CH4,774.95,787.22,foreground
S01_U04.CH4,787.22,787.98,foreground
S01_U04.CH4,787.98,788.88,foreground
S01_U04.CH4,788.88,789.81,foreground
S01_U04.CH4,789.81,791.85,foreground
S01_U04.CH4,791.85,792.75,foreground
S01_U04.CH4,792.75,793.0,background
S01_U04.CH4,793.0,794.15,foreground
S01_U04.CH4,794.15,795.42,foreground
S01_U04.CH4,795.42,801.15,foreground
S01_U04.CH4,801.15,803.27,foreground
S01_U04.CH4,803.27,804.14,foreground
S01_U04.CH4,804.14,805.79,foreground
S01_U04.CH4,805.79,806.43,foreground
S01_U04.CH4,806.43,807.03,foreground
S01_U04.CH4,807.03,811.03,foreground
S01_U04.CH4,811.03,813.71,foreground
S01_U04.CH4,813.71,813.91,background
S01_U04.CH4,813.91,815.39,foreground
S01_U04.CH4,815.39,834.46,foreground
S01_U04.CH4,834.46,840.02,foreground
S01_U04.CH4,840.02,841.98,foreground
S01_U04.CH4,841.98,843.2,foreground
S01_U04.CH4,843.2,846.32,foreground
S01_U04.CH4,846.32,846.97,foreground
S01_U04.CH4,846.97,847.68,background
S01_U04.CH4,847.68,848.11,foreground
S01_U04.CH4,848.11,848.52,background
S01_U04.CH4,848.52,849.14,foreground
S01_U04.CH4,849.14,850.09,foreground
S01_U04.CH4,850.09,850.78,foreground
S01_U04.CH4,850.78,851.35,foreground
S01_U04.CH4,851.35,851.94,background
S01_U04.CH4,851.94,852.2,foreground
S01_U04.CH4,852.2,852.51,background
S01_U04.CH4,852.51,852.91,foreground
S01_U04.CH4,852.91,853.23,background
S01_U04.CH4,853.23,853.98,foreground
S01_U04.CH4,853.98,854.51,background
S01_U04.CH4,854.51,855.97,foreground
S01_U04.CH4,855.97,857.43,foreground
S01_U04.CH4,857.43,857.78,foreground
S01_U04.CH4,857.78,858.16,foreground
S01_U04.CH4,858.16,859.27,foreground
S01_U04.CH4,859.27,859.59,foreground
S01_U04.CH4,859.59,860.3,background
S01_U04.CH4,860.3,860.84,foreground
S01_U04.CH4,860.84,861.08,background
S01_U04.CH4,861.08,861.73,background
S01_U04.CH4,861.73,862.19,background
S01_U04.CH4,862.19,862.47,background
S01_U04.CH4,862.47,865.08,foreground
S01_U04.CH4,865.08,865.74,foreground
S01_U04.CH4,865.74,866.38,background
S01_U04.CH4,866.38,867.21,foreground
S01_U04.CH4,867.21,867.69,foreground
S01_U04.CH4,867.69,868.24,background
S01_U04.CH4,868.24,869.41,foreground
S01_U04.CH4,869.41,870.87,foreground
S01_U04.CH4,870.87,871.07,background
S01_U04.CH4,871.07,876.28,foreground
S01_U04.CH4,876.28,878.01,foreground
S01_U04.CH4,878.01,879.63,foreground
S01_U04.CH4,879.63,881.36,foreground
S01_U04.CH4,881.36,881.61,background
S01_U04.CH4,881.61,882.37,foreground
S01_U04.CH4,882.37,885.32,foreground
S01_U04.CH4,885.32,885.59,background
S01_U04.CH4,885.59,885.96,foreground
S01_U04.CH4,885.96,888.82,foreground
S01_U04.CH4,888.82,892.55,foreground
S01_U04.CH4,892.55,898.81,foreground
S01_U04.CH4,898.81,899.14,foreground
S01_U04.CH4,899.14,903.8,foreground
S01_U04.CH4,903.8,904.77,foreground
S01_U04.CH4,904.77,907.25,foreground
S01_U04.CH4,907.25,915.85,foreground
S01_U04.CH4,915.85,919.73,foreground
S01_U04.CH4,919.73,921.06,foreground
S01_U04.CH4,921.06,923.44,foreground
S01_U04.CH4,923.44,924.77,foreground
S01_U04.CH4,924.77,925.75,foreground
S01_U04.CH4,925.75,930.71,foreground
S01_U04.CH4,930.71,933.85,foreground
S01_U04.CH4,933.85,936.92,foreground
S01_U04.CH4,936.92,937.7,foreground
S01_U04.CH4,937.7,943.99,foreground
S01_U04.CH4,943.99,945.09,foreground
S01_U04.CH4,945.09,945.45,foreground
S01_U04.CH4,945.45,945.73,foreground
S01_U04.CH4,945.73,946.3,foreground
S01_U04.CH4,946.3,947.32,foreground
S01_U04.CH4,947.32,947.67,foreground
S01_U04.CH4,947.67,947.92,background
S01_U04.CH4,947.92,948.45,foreground
S01_U04.CH4,948.45,948.76,background
S01_U04.CH4,948.76,949.49,background
S01_U04.CH4,949.49,949.89,foreground
S01_U04.CH4,949.89,950.43,background
S01_U04.CH4,950.43,951.46,foreground
S01_U04.CH4,951.46,951.7,background
S01_U04.CH4,951.7,953.02,foreground
S01_U04.CH4,953.02,953.28,background
S01_U04.CH4,953.28,953.92,foreground
S01_U04.CH4,953.92,956.08,foreground
S01_U04.CH4,956.08,958.61,foreground
S01_U04.CH4,958.61,961.85,foreground
S01_U04.CH4,961.85,963.43,foreground
S01_U04.CH4,963.43,963.94,foreground
S01_U04.CH4,963.94,964.73,foreground
S01_U04.CH4,964.73,965.59,foreground
S01_U04.CH4,965.59,966.49,foreground
S01_U04.CH4,966.49,967.13,foreground
S01_U04.CH4,967.13,967.62,foreground
S01_U04.CH4,967.62,970.79,foreground
S01_U04.CH4,970.79,972.72,foreground
S01_U04.CH4,972.72,978.88,foreground
S01_U04.CH4,978.88,983.11,foreground
S01_U04.CH4,983.11,984.89,foreground
S01_U04.CH4,984.89,986.21,foreground
S01_U04.CH4,986.21,988.44,foreground
S01_U04.CH4,988.44,991.73,foreground
S01_U04.CH4,991.73,992.82,foreground
S01_U04.CH4,992.82,993.11,foreground
S01_U04.CH4,993.11,993.73,foreground
S01_U04.CH4,993.73,994.45,foreground
S01_U04.CH4,994.45,1006.2,foreground
S01_U04.CH4,1006.2,1016.47,foreground
S01_U04.CH4,1016.47,1019.51,foreground
S01_U04.CH4,1019.51,1019.94,foreground
S01_U04.CH4,1019.94,1021.56,foreground
S01_U04.CH4,1021.56,1024.71,foreground
S01_U04.CH4,1024.71,1024.99,foreground
S01_U04.CH4,1024.99,1029.77,foreground
S01_U04.CH4,1029.77,1045.93,foreground
S01_U04.CH4,1045.93,1047.13,foreground
S01_U04.CH4,1047.13,1048.34,foreground
S01_U04.CH4,1048.34,1049.63,foreground
S01_U04.CH4,1049.63,1050.63,foreground
S01_U04.CH4,1050.63,1051.69,foreground
S01_U04.CH4,1051.69,1053.29,foreground
S01_U04.CH4,1053.29,1053.58,foreground
S01_U04.CH4,1053.58,1058.04,foreground
S01_U04.CH4,1058.04,1066.25,foreground
S01_U04.CH4,1066.25,1084.47,foreground
S01_U04.CH4,1084.47,1084.79,foreground
S01_U04.CH4,1084.79,1086.35,foreground
S01_U04.CH4,1086.35,1093.14,foreground
S01_U04.CH4,1093.14,1093.41,foreground
S01_U04.CH4,1093.41,1094.0,foreground
S01_U04.CH4,1094.0,1096.05,foreground
S01_U04.CH4,1096.05,1096.85,foreground
S01_U04.CH4,1096.85,1097.89,foreground
S01_U04.CH4,1097.89,1099.59,foreground
S01_U04.CH4,1099.59,1100.49,foreground
S01_U04.CH4,1100.49,1101.7,foreground
S01_U04.CH4,1101.7,1103.0,foreground
S01_U04.CH4,1103.0,1104.41,foreground
S01_U04.CH4,1104.41,1106.57,foreground
S01_U04.CH4,1106.57,1110.0,foreground
S01_U04.CH4,1110.0,1110.52,foreground
S01_U04.CH4,1110.52,1111.82,foreground
S01_U04.CH4,1111.82,1112.31,foreground
S01_U04.CH4,1112.31,1113.25,foreground
S01_U04.CH4,1113.25,1115.69,foreground
S01_U04.CH4,1115.69,1117.1,foreground
S01_U04.CH4,1117.1,1117.31,background
S01_U04.CH4,1117.31,1117.87,foreground
S01_U04.CH4,1117.87,1118.67,foreground
S01_U04.CH4,1118.67,1119.35,foreground
S01_U04.CH4,1119.35,1132.02,foreground
S01_U04.CH4,1132.02,1135.15,foreground
S01_U04.CH4,1135.15,1135.45,foreground
S01_U04.CH4,1135.45,1137.64,foreground
S01_U04.CH4,1137.64,1137.98,foreground
S01_U04.CH4,1137.98,1138.32,foreground
S01_U04.CH4,1138.32,1140.46,foreground
S01_U04.CH4,1140.46,1141.69,foreground
S01_U04.CH4,1141.69,1142.24,foreground
S01_U04.CH4,1142.24,1144.46,foreground
S01_U04.CH4,1144.46,1145.34,foreground
S01_U04.CH4,1145.34,1145.59,background
S01_U04.CH4,1145.59,1147.59,foreground
S01_U04.CH4,1147.59,1152.29,foreground
S01_U04.CH4,1152.29,1153.94,foreground
S01_U04.CH4,1153.94,1155.06,foreground
S01_U04.CH4,1155.06,1156.01,foreground
S01_U04.CH4,1156.01,1156.39,foreground
S01_U04.CH4,1156.39,1157.23,foreground
S01_U04.CH4,1157.23,1161.6,foreground
S01_U04.CH4,1161.6,1173.33,foreground
S01_U04.CH4,1173.33,1174.35,foreground
S01_U04.CH4,1174.35,1176.37,foreground
S01_U04.CH4,1176.37,1179.02,foreground
S01_U04.CH4,1179.02,1195.14,foreground
S01_U04.CH4,1195.14,1197.25,foreground
S01_U04.CH4,1197.25,1200.41,foreground
S01_U04.CH4,1200.41,1200.71,foreground
S01_U04.CH4,1200.71,1200.94,foreground
S01_U04.CH4,1200.94,1202.3,foreground
S01_U04.CH4,1202.3,1205.21,foreground
S01_U04.CH4,1205.21,1206.91,foreground
S01_U04.CH4,1206.91,1207.5,foreground
S01_U04.CH4,1207.5,1208.1,foreground
S01_U04.CH4,1208.1,1216.81,foreground
S01_U04.CH4,1216.81,1223.83,foreground
S01_U04.CH4,1223.83,1228.21,foreground
S01_U04.CH4,1228.21,1229.58,foreground
S01_U04.CH4,1229.58,1231.32,foreground
S01_U04.CH4,1231.32,1231.72,foreground
S01_U04.CH4,1231.72,1250.77,foreground
S01_U04.CH4,1250.77,1258.91,foreground
S01_U04.CH4,1258.91,1267.43,foreground
S01_U04.CH4,1267.43,1279.82,foreground
S01_U04.CH4,1279.82,1280.02,background
S01_U04.CH4,1280.02,1285.56,foreground
S01_U04.CH4,1285.56,1285.85,foreground
S01_U04.CH4,1285.85,1293.7,foreground
S01_U04.CH4,1293.7,1300.32,foreground
S01_U04.CH4,1300.32,1300.78,background
S01_U04.CH4,1300.78,1303.11,foreground
S01_U04.CH4,1303.11,1306.71,foreground
S01_U04.CH4,1306.71,1310.7,foreground
S01_U04.CH4,1310.7,1317.1,foreground
S01_U04.CH4,1317.1,1317.84,foreground
S01_U04.CH4,1317.84,1324.32,foreground
S01_U04.CH4,1324.32,1329.77,foreground
S01_U04.CH4,1329.77,1330.12,foreground
S01_U04.CH4,1330.12,1330.73,foreground
S01_U04.CH4,1330.73,1331.17,foreground
S01_U04.CH4,1331.17,1334.49,foreground
S01_U04.CH4,1334.49,1335.04,foreground
S01_U04.CH4,1335.04,1336.6,foreground
S01_U04.CH4,1336.6,1342.77,foreground
S01_U04.CH4,1342.77,1347.89,foreground
S01_U04.CH4,1347.89,1348.25,foreground
S01_U04.CH4,1348.25,1348.79,foreground
S01_U04.CH4,1348.79,1364.72,foreground
S01_U04.CH4,1364.72,1377.22,foreground
S01_U04.CH4,1377.22,1377.65,foreground
S01_U04.CH4,1377.65,1378.67,foreground
S01_U04.CH4,1378.67,1383.32,foreground
S01_U04.CH4,1383.32,1383.54,background
S01_U04.CH4,1383.54,1387.27,foreground
S01_U04.CH4,1387.27,1388.21,foreground
S01_U04.CH4,1388.21,1390.64,foreground
S01_U04.CH4,1390.64,1391.34,foreground
S01_U04.CH4,1391.34,1391.58,background
S01_U04.CH4,1391.58,1404.32,foreground
S01_U04.CH4,1404.32,1418.38,foreground
S01_U04.CH4,1418.38,1428.43,foreground
S01_U04.CH4,1428.43,1430.9,foreground
S01_U04.CH4,1430.9,1436.37,foreground
S01_U04.CH4,1436.37,1438.38,foreground
S01_U04.CH4,1438.38,1448.44,foreground
S01_U04.CH4,1448.44,1451.45,foreground
S01_U04.CH4,1451.45,1451.75,foreground
S01_U04.CH4,1451.75,1452.26,foreground
S01_U04.CH4,1452.26,1468.81,foreground
S01_U04.CH4,1468.81,1479.91,foreground
S01_U04.CH4,1479.91,1498.78,foreground
S01_U04.CH4,1498.78,1500.16,foreground
S01_U04.CH4,1500.16,1504.03,foreground
S01_U04.CH4,1504.03,1511.4,foreground
S01_U04.CH4,1511.4,1513.21,foreground
S01_U04.CH4,1513.21,1513.95,background
S01_U04.CH4,1513.95,1515.07,foreground
S01_U04.CH4,1515.07,1515.87,foreground
S01_U04.CH4,1515.87,1516.57,background
S01_U04.CH4,1516.57,1517.1,foreground
S01_U04.CH4,1517.1,1517.72,foreground
S01_U04.CH4,1517.72,1518.4,foreground
S01_U04.CH4,1518.4,1519.13,foreground
S01_U04.CH4,1519.13,1520.13,background
S01_U04.CH4,1520.13,1522.88,foreground
S01_U04.CH4,1522.88,1523.15,foreground
S01_U04.CH4,1523.15,1523.4,background
S01_U04.CH4,1523.4,1524.2,foreground
S01_U04.CH4,1524.2,1529.04,foreground
S01_U04.CH4,1529.04,1530.08,foreground
S01_U04.CH4,1530.08,1531.16,foreground
S01_U04.CH4,1531.16,1542.74,foreground
S01_U04.CH4,1542.74,1544.89,foreground
S01_U04.CH4,1544.89,1549.85,foreground
S01_U04.CH4,1549.85,1551.5,foreground
S01_U04.CH4,1551.5,1557.85,foreground
S01_U04.CH4,1557.85,1558.06,background
S01_U04.CH4,1558.06,1558.63,foreground
S01_U04.CH4,1558.63,1561.69,foreground
S01_U04.CH4,1561.69,1571.36,foreground
S01_U04.CH4,1571.36,1577.36,foreground
S01_U04.CH4,1577.36,1577.83,foreground
S01_U04.CH4,1577.83,1578.37,foreground
S01_U04.CH4,1578.37,1579.39,foreground
S01_U04.CH4,1579.39,1579.7,foreground
S01_U04.CH4,1579.7,1589.01,foreground
S01_U04.CH4,1589.01,1591.7,foreground
S01_U04.CH4,1591.7,1607.39,foreground
S01_U04.CH4,1607.39,1612.97,foreground
S01_U04.CH4,1612.97,1613.35,foreground
S01_U04.CH4,1613.35,1617.4,foreground
S01_U04.CH4,1617.4,1619.0,foreground
S01_U04.CH4,1619.0,1623.02,foreground
S01_U04.CH4,1623.02,1623.68,foreground
S01_U04.CH4,1623.68,1624.52,foreground
S01_U04.CH4,1624.52,1629.55,foreground
S01_U04.CH4,1629.55,1635.32,foreground
S01_U04.CH4,1635.32,1635.9,foreground
S01_U04.CH4,1635.9,1636.91,foreground
S01_U04.CH4,1636.91,1639.85,foreground
S01_U04.CH4,1639.85,1648.41,foreground
S01_U04.CH4,1648.41,1649.16,foreground
S01_U04.CH4,1649.16,1649.98,foreground
S01_U04.CH4,1649.98,1650.19,background
S01_U04.CH4,1650.19,1650.64,foreground
S01_U04.CH4,1650.64,1662.8,foreground
S01_U04.CH4,1662.8,1664.69,foreground
S01_U04.CH4,1664.69,1667.17,foreground
S01_U04.CH4,1667.17,1667.58,foreground
S01_U04.CH4,1667.58,1667.79,background
S01_U04.CH4,1667.79,1674.52,foreground
S01_U04.CH4,1674.52,1683.32,foreground
S01_U04.CH4,1683.32,1684.51,foreground
S01_U04.CH4,1684.51,1691.98,foreground
S01_U04.CH4,1691.98,1692.65,foreground
S01_U04.CH4,1692.65,1697.6,foreground
S01_U04.CH4,1697.6,1702.01,foreground
S01_U04.CH4,1702.01,1703.19,foreground
S01_U04.CH4,1703.19,1705.29,foreground
S01_U04.CH4,1705.29,1705.49,background
S01_U04.CH4,1705.49,1709.11,foreground
S01_U04.CH4,1709.11,1710.48,foreground
S01_U04.CH4,1710.48,1711.49,foreground
S01_U04.CH4,1711.49,1711.91,foreground
S01_U04.CH4,1711.91,1715.66,foreground
S01_U04.CH4,1715.66,1718.1,foreground
S01_U04.CH4,1718.1,1718.76,foreground
S01_U04.CH4,1718.76,1728.52,foreground
S01_U04.CH4,1728.52,1731.76,foreground
S01_U04.CH4,1731.76,1741.46,foreground
S01_U04.CH4,1741.46,1765.38,foreground
S01_U04.CH4,1765.38,1785.11,foreground
S01_U04.CH4,1785.11,1791.78,foreground
S01_U04.CH4,1791.78,1804.9,foreground
S01_U04.CH4,1804.9,1834.32,foreground
S01_U04.CH4,1834.32,1834.6,foreground
S01_U04.CH4,1834.6,1835.05,background
S01_U04.CH4,1835.05,1836.98,foreground
S01_U04.CH4,1836.98,1841.84,foreground
S01_U04.CH4,1841.84,1843.33,foreground
S01_U04.CH4,1843.33,1847.76,foreground
S01_U04.CH4,1847.76,1851.25,foreground
S01_U04.CH4,1851.25,1851.75,foreground
S01_U04.CH4,1851.75,1852.01,foreground
S01_U04.CH4,1852.01,1852.22,background
S01_U04.CH4,1852.22,1854.03,foreground
S01_U04.CH4,1854.03,1854.4,foreground
S01_U04.CH4,1854.4,1862.02,foreground
S01_U04.CH4,1862.02,1863.42,foreground
S01_U04.CH4,1863.42,1880.49,foreground
S01_U04.CH4,1880.49,1886.25,foreground
S01_U04.CH4,1886.25,1893.08,foreground
S01_U04.CH4,1893.08,1909.45,foreground
S01_U04.CH4,1909.45,1936.7,foreground
S01_U04.CH4,1936.7,1955.91,foreground
S01_U04.CH4,1955.91,1965.17,foreground
S01_U04.CH4,1965.17,1973.98,foreground
S01_U04.CH4,1973.98,1996.73,foreground
S01_U04.CH4,1996.73,2005.58,foreground
S01_U04.CH4,2005.58,2008.36,foreground
S01_U04.CH4,2008.36,2013.06,foreground
S01_U04.CH4,2013.06,2023.34,foreground
S01_U04.CH4,2023.34,2031.88,foreground
S01_U04.CH4,2031.88,2032.39,background
S01_U04.CH4,2032.39,2043.72,foreground
